round,loss,acc,auc
1,2.1802825927734375,0.14285714285714285,1.0
2,1.7264095544815063,0.42857142857142855,1.0
3,1.957329511642456,0.42857142857142855,1.0
4,1.7515499591827393,0.42857142857142855,1.0
5,1.9539778232574463,0.42857142857142855,1.0
6,1.9990428686141968,0.42857142857142855,1.0
7,1.8465120792388916,0.42857142857142855,1.0
8,1.9884827136993408,0.42857142857142855,1.0
9,2.035792589187622,0.2857142857142857,1.0
10,2.017960548400879,0.42857142857142855,1.0
11,2.0003678798675537,0.42857142857142855,1.0
12,1.9678107500076294,0.42857142857142855,1.0
13,2.0489542484283447,0.2857142857142857,1.0
14,1.9775409698486328,0.42857142857142855,1.0
15,1.9243175983428955,0.2857142857142857,1.0
16,1.9834738969802856,0.2857142857142857,1.0
17,2.056980609893799,0.2857142857142857,1.0
18,2.0357630252838135,0.2857142857142857,1.0
19,2.0186240673065186,0.2857142857142857,1.0
20,2.0814058780670166,0.2857142857142857,1.0
21,2.1364283561706543,0.2857142857142857,1.0
22,2.1979758739471436,0.2857142857142857,1.0
23,2.107614755630493,0.2857142857142857,1.0
24,2.12548565864563,0.2857142857142857,1.0
25,2.05558705329895,0.2857142857142857,1.0
26,1.9772642850875854,0.42857142857142855,1.0
27,2.123946189880371,0.2857142857142857,1.0
28,1.9889097213745117,0.2857142857142857,1.0
29,2.154461145401001,0.2857142857142857,1.0
30,1.9828757047653198,0.2857142857142857,1.0
31,2.058058023452759,0.2857142857142857,1.0
32,2.0502521991729736,0.2857142857142857,1.0
33,2.274808883666992,0.2857142857142857,1.0
34,2.0274524688720703,0.2857142857142857,1.0
35,2.2194035053253174,0.2857142857142857,1.0
36,2.025163173675537,0.2857142857142857,1.0
37,2.116150140762329,0.2857142857142857,1.0
38,1.9780651330947876,0.2857142857142857,1.0
39,1.889830470085144,0.42857142857142855,1.0
40,2.067704916000366,0.2857142857142857,1.0
41,2.0782368183135986,0.2857142857142857,1.0
42,2.1036064624786377,0.2857142857142857,1.0
43,2.0473859310150146,0.2857142857142857,1.0
44,2.104006767272949,0.2857142857142857,0.8333333333333334
45,2.1957273483276367,0.2857142857142857,1.0
46,2.014106273651123,0.2857142857142857,1.0
47,2.172344446182251,0.2857142857142857,0.8333333333333334
48,2.019350528717041,0.42857142857142855,0.8333333333333334
49,2.087693452835083,0.2857142857142857,0.8333333333333334
50,2.19566011428833,0.2857142857142857,0.8333333333333334
